Customer ID,Sales,Share,CumShare
SM-20320,25043.05,0.011073465703308897,0.011073465703308897
TC-20980,19052.218,0.008424456389895179,0.019497922093204077
RB-19360,15117.339,0.006684542615288234,0.026182464708492312
TA-21385,14595.62,0.006453850369205405,0.032636315077697715
AB-10105,14473.570999999998,0.00639988308424518,0.0390361981619429
KL-16645,14175.229000000001,0.00626796305434241,0.045304161216285305
SC-20095,14142.333999999999,0.006253417635381446,0.05155757885166675
HL-15040,12873.297999999999,0.005692278851476757,0.05724985770314351
SE-20110,12209.438000000002,0.0053987350961514835,0.062648592799295
CC-12370,12129.072000000002,0.005363199083376996,0.06801179188267199
TS-21370,11891.751,0.00525826114833414,0.07327005303100613
GT-14710,11820.119999999999,0.00522658755339288,0.07849664058439901
BM-11140,11789.63,0.005213105570595501,0.0837097461549945
SV-20365,11470.949999999999,0.005072192540819556,0.08878193869581406
CJ-12010,11164.974,0.004936896930179653,0.09371883562599372
CL-12565,10880.546,0.004811129353823708,0.09852996497981742
ME-17320,10663.728000000001,0.0047152573778918615,0.10324522235770928
KF-16285,10604.266,0.00468896463728518,0.10793418699499446
BS-11365,10501.653,0.004643591508364636,0.1125777785033591
EH-13765,9940.380000000001,0.004395409385352731,0.11697318788871182
JL-15835,9576.343,0.004234440524361938,0.12120762841307375
GT-14635,9351.212,0.00413489272937484,0.1253425211424486
TB-21400,9108.742,0.004027678023934357,0.12937019916638295
PF-19120,9062.864,0.004007391818398832,0.13337759098478177
CM-12385,8954.019999999999,0.003959263483351345,0.13733685446813312
JD-16150,8828.0305,0.00390355379913848,0.1412404082672716
JE-15715,8697.842999999999,0.003845987855044228,0.14508639612231583
LA-16780,8673.222,0.0038351010102277558,0.14892149713254357
PK-19075,8646.934,0.003823477056020557,0.15274497418856414
DR-12940,8350.868,0.003692563421422701,0.15643753760998685
KD-16270,8282.358,0.0036622698615195065,0.16009980747150637
NC-18535,8241.739,0.0036443090658735003,0.16374411653737989
HM-14860,8236.7648,0.0036421095880502566,0.16738622612543014
KD-16495,8181.256,0.003617564862346645,0.1710037909877768
NF-18385,8080.474,0.0035730013598774613,0.17457679234765425
SB-20290,8057.891,0.0035630156721925418,0.1781398080198468
ZC-21910,8025.707,0.0035487846412200646,0.18168859266106688
JH-15985,7954.9980000000005,0.003517518733656279,0.18520611139472315
NP-18700,7903.1825,0.0034946071010017177,0.18870071849572487
AH-10690,7888.294,0.0034880237457744706,0.19218874224149934
AB-10060,7755.62,0.003429358328074917,0.19561810056957427
JE-15610,7754.976,0.0034290735659587637,0.19904717413553302
JW-15220,7721.714,0.003414365867965769,0.20246154000349878
LC-16885,7663.126,0.0033884595902310102,0.2058499995937298
JM-15865,7625.076000000001,0.003371634747809225,0.209221634341539
JD-15895,7610.8640000000005,0.003365350525457098,0.21258698486699612
PO-18850,7473.8282,0.0033047564192509645,0.21589174128624708
MS-17365,7443.6900000000005,0.003291429994392193,0.21918317128063927
RW-19540,7397.401,0.0032709620540278816,0.22245413333466715
BM-11650,7294.185,0.003225322292256343,0.2256794556269235
